Hora			Cond.A	Temp.A	Cond.B	Temp.B
				 [uS] 	 [°C] 	 [uS] 	 [°C] 
11:43:27		 715	 23.2	 720	 22.7
11:43:34		 704	 23.7	 700	 23.6
11:43:41		 704	 23.7	 703	 23.6
11:43:48		 709	 23.7	 703	 23.6
11:43:55		 699	 23.7	 703	 23.6
11:44:02		 699	 23.7	 705	 23.6
11:44:09		 698	 23.7	 702	 23.6
11:44:16		 706	 23.7	 705	 23.6
11:44:23		 706	 23.7	 703	 23.6
11:44:30		 703	 23.7	 700	 23.6
11:44:37		 706	 23.7	 703	 23.6
11:44:44		 704	 23.7	 702	 23.6
11:44:51		 704	 23.7	 702	 23.6
00:00:00		 0		 0		 0		 0
